rating,date,variation,verified_reviews,feedback,review_length,new_reviews,sentiment
5,30-Jul-18,Sandstone Fabric ,"She works well. Needs a learning command  for unique, owners and users like. Alexa “learn” Tasha’s birthday.  Or Alexa “learn” my definition of Fine. Etc. other than that she is great",1,183,work well need learn command unique owner user like alexa learn tashas birthday alexa learn definition fine etc great,positive
3,30-Jul-18,Heather Gray Fabric ,The speakers sound pretty good for being so small and setup is pretty easy.  I bought two and the reason I only rate it a 3 is I have followed the instructions for synching music to both units.  I know I've done it correctly but they won't sync.  That was my primary motivation for purchasing multiple units.,1,308,speaker sound pretty good small setup pretty easy buy two reason rate 3 followed instruction synche music unit know -PRON- have do correctly will not sync primary motivation purchase multiple unit,negative
5,30-Jul-18,Charcoal Fabric ,This device is awesome!,1,23,device awesome,positive
5,30-Jul-18,Charcoal Fabric ,I bought this to compare the speaker quality to our first generation speaker and i like the sound better.  I will ship this to my daughter though because I like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,1,310,buy compare speaker quality first generation speaker like sound well ship daughter though like fact first generation chargeable base buy keep mobile need well sound,positive
5,30-Jul-18,Sandstone Fabric ,"Love my Echo. Still learning all the things it will do. Wasn’t able to follow instructions included in the package, but found a great one on U-Tube.",1,148,love echo still learn thing be not able follow instruction include package find great one utube,positive
4,30-Jul-18,Heather Gray Fabric ,Speaker is better than 1st generation Echo,1,42,speaker better 1st generation echo,positive
5,30-Jul-18,Charcoal Fabric ,"This thing is way cool!  You should get one.  If you want to be cool, that is.",1,78,thing way cool get one want cool,positive
5,30-Jul-18,Heather Gray Fabric ,"This is my first digital assistant so I'm giving this a good review. Speaker is really good for the cheap price on Prime day. Fun to play with and can be used as an alarm clock (That's what I was going to get in the first place, but I ended up with Echo). If you haven't had a go with one then definitely try it!What I like best is the number of other devices that it can connect with. My purchase came with a Smart Plug for $10 which I connect my lamp to. Alexa, turn of the lights!",1,483,first digital assistant -PRON- be give good review speaker really good cheap price prime day fun play use alarm clock that s go get first place end echo have not go one definitely try itwhat like good number device connect purchase come smart plug 10 connect lamp alexa turn light,positive
5,30-Jul-18,Charcoal Fabric ,My husband likes being able to use it to listen to music.  I wish we knew all it's capabilities,1,95,husband like able use listen music wish know capability,positive
5,30-Jul-18,Charcoal Fabric ,"My Android would not allow Alexa to connect. Fortunately, my sister was here with her Apple cell. After an hour+ tech support fixed the glitches. We are up and running.",1,168,android would allow alexa connect fortunately sister apple cell hour tech support fix glitch run,positive
4,30-Jul-18,Charcoal Fabric ,So far so good,1,14,far good,positive
5,30-Jul-18,Charcoal Fabric ,Tried to play certain broadway shows like Camelot and it gives ne the group Camelot.,1,84,try play certain broadway show like camelot give ne group camelot,positive
5,30-Jul-18,Sandstone Fabric ,Great,1,5,great,positive
5,30-Jul-18,Walnut Finish ,Very satisfied with the Echo. Alexa now controls the lights in my family room and my wife can listen to Jimmy Buffet by just asking Alexa.,1,138,satisfied echo alexa controls lights family room wife listen jimmy buffet ask alexa,positive
2,30-Jul-18,Charcoal Fabric ,"It's like Siri, in fact, Siri answers more accurately then Alexa.  I don't see a real need for it in my household, though it was a good bargain on prime day deals.",0,163,like siri fact siri answer accurately alexa do not see real need household though good bargain prime day deal,negative
5,30-Jul-18,Charcoal Fabric ,Love my Echo. Still learning how every thing works but having tons of fun.,1,74,love echo still learn every thing work ton fun,positive
5,30-Jul-18,Heather Gray Fabric ,I love you so much,1,18,love much,positive
3,30-Jul-18,Charcoal Fabric ,No different than Apple. To play a specific list of music you must have an Amazon of Spotify “plus/prime/etc” account.  So you must pay to play “your” music.  3 stars for that reason.  Everything else is 👍🏻 .,1,208,different apple play specific list music must amazon spotify plusprimeetc account must pay play music 3 star reason everything else,negative
5,30-Jul-18,Charcoal Fabric ,"Excelente, lo unico es que no esta en español.",1,46,excelente lo unico es que esta en español,positive
5,30-Jul-18,Charcoal Fabric ,"I'm still learning how to use it, but so far my Echo is great! The sound is actually much better than I was expecting.",1,118,-PRON- be still learn use far echo great sound actually much well expecting,positive
5,30-Jul-18,Charcoal Fabric ,Works as you’d expect and then some. Also good sound quality considering price (70.00 on sale) and features.,1,108,work -PRON- d expect also good sound quality consider price 7000 sale feature,positive
5,30-Jul-18,Charcoal Fabric ,The sound from this Echo 2nd Generation is phenomenal!  Not to mention that I just love Alexa!  She is very helpful.,1,116,sound echo 2nd generation phenomenal mention love alexa helpful,positive
3,30-Jul-18,Sandstone Fabric ,like google better,1,18,like google well,negative
5,30-Jul-18,Charcoal Fabric ,Just had to have it and now lets play and learn how to get the most out of it.,1,78,lets play learn get,positive
5,30-Jul-18,Charcoal Fabric ,Works as advertised. Very easy to setup. Still learning what this can do.,1,73,work advertise easy setup still learn,positive
4,30-Jul-18,Charcoal Fabric ,Great sound and easy to set up.,1,31,great sound easy set,positive
5,30-Jul-18,Oak Finish ,"Love Alexa, bought others for friends",1,37,love alexa buy other friend,positive
5,30-Jul-18,Charcoal Fabric ,Love the echo I purchased it for company for my husband he is 83 and Alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,1,170,love echo purchase company husband 83 alexa great say name tell joke play favorite song,positive
5,30-Jul-18,Heather Gray Fabric ,😍,1,1,,positive
5,30-Jul-18,Charcoal Fabric ,Love being able to listen to music easily. Still learning all the features available,1,84,love able listen music easily still learn feature available,positive
4,30-Jul-18,Heather Gray Fabric ,"Did t really know what I could use this device for. Used it for a few things, but need an overview",1,98,really know could use device use thing need overview,positive
5,30-Jul-18,Heather Gray Fabric ,Love this just wish it had a built in hub,1,41,love wish build hub,positive
5,30-Jul-18,Charcoal Fabric ,I use it primarily to play music.  It works wonderfully!  Still getting used to some of the many things it will do.  Amazon has sent several tips since I got it. Thanks for all your help!,1,187,use primarily play music work wonderfully still get use many thing amazon send several tip since get thank help,positive
5,30-Jul-18,Charcoal Fabric ,How easy if was to set up.,1,26,easy set,positive
4,30-Jul-18,Charcoal Fabric ,Fast response which was amazing.  Clear concise answers and sound quality is fantastic.  I am still getting used to Alexia and have not usde Echo to its full extent.,1,165,fast response amazing clear concise answer sound quality fantastic still get use alexia usde echo full extent,positive
5,30-Jul-18,Charcoal Fabric ,You’re all I need...na na nana!,1,31,-PRON- be needna na nana,positive
5,30-Jul-18,Charcoal Fabric ,Does everything as expected and more.,1,37,everything expect,positive
5,30-Jul-18,Sandstone Fabric ,"I love my Echo!  Works just like they said it would. I don't have a &#34;smart&#34; home, so I cannot speak about that function, but everything else about it is good.",1,166,love echo work like say would do not 34smart34 home can not speak function everything else good,positive
5,30-Jul-18,Charcoal Fabric ,Great sound in a small package—easy to set up and use; fun to own.,1,66,great sound small packageeasy set use fun,positive
5,30-Jul-18,Charcoal Fabric ,Works and sounds great.,1,23,work sound great,positive
5,30-Jul-18,Heather Gray Fabric ,The sound is amazing and many collections of all music,1,54,sound amazing many collection music,positive
4,30-Jul-18,Sandstone Fabric ,Setting up,1,10,set,positive
5,30-Jul-18,Heather Gray Fabric ,She doesn’t always listen,1,25,do not always listen,positive
5,30-Jul-18,Charcoal Fabric ,It’s awesome,1,12,awesome,positive
4,30-Jul-18,Heather Gray Fabric ,"I bought this because it can control fios television. It works well. I’m hoping over time it will do more to control fios. Then I discovered all the other things Alexa can do. Play music you ask for. Great sound from Alexa. Play games. Play radio stations. Play old time radio programs like the Long Ranger. Alexa has many “apps” you can add to her abilities. The other day I played Madlibs. Great fun. Also Alexa can control household appliances. I just purchased Alexa compatible power strips to control lighting, fans and TV components. I’m looking forward to implementing this controll. You can also add other Alexa components to have chosen music to play in all rooms where the components are located.",1,706,buy control fios television work well -PRON- be hope time control fio discover thing alexa play music ask great sound alexa play game play radio station play old time radio program like long ranger alexa many app add ability day play madlibs great fun also alexa control household appliance purchase alexa compatible power strip control lighting fan tv component -PRON- be look forward implement controll also add alexa component choose music play room component locate,positive
5,30-Jul-18,Heather Gray Fabric ,The speaker has excellent sound and works perfectly!,1,52,speaker excellent sound work perfectly,positive
5,30-Jul-18,Charcoal Fabric ,I LIKE IT ALL,1,13,like,positive
5,30-Jul-18,Charcoal Fabric ,I love it. It does everything,1,29,love everything,positive
5,30-Jul-18,Heather Gray Fabric ,I was a little nervous when I received my new Echo as I'm not really Tech savvy. I found it a bit intimidating at first but it didn't take me to long to figure it out!! I'm very happy with my purchase and now thinking of adding an echo spot!!!,1,243,little nervous receive new echo -PRON- be really tech savvy find bit intimidate first do not take long figure -PRON- be happy purchase thinking add echo spot,positive
4,30-Jul-18,Charcoal Fabric ,I like it and still learning how to use it.,1,43,like still learn use,positive
5,30-Jul-18,Charcoal Fabric ,Great technology!! Can't believe the speaker volume and quality is so wonderful. Wish I had bought another one!,1,111,great technology can not believe speaker volume quality wonderful wish buy another one,positive
5,30-Jul-18,Heather Gray Fabric ,"I purchased an echo dot for my husband for Fathers Day.  He uses it constantly and after hearing the quality of sound of the Echo (2nd Generation), It was a no-brainer.  Best gift ever!",1,185,purchase echo dot husband father day use constantly hear quality sound echo 2nd generation nobrainer good gift ever,positive
4,30-Jul-18,Charcoal Fabric ,Works fine!!,1,12,work fine,positive
5,30-Jul-18,Heather Gray Fabric , ,1,1,,positive
5,30-Jul-18,Charcoal Fabric ,Clear music,1,11,clear music,positive
5,30-Jul-18,Charcoal Fabric ,"Fun to use, good sound quality",1,30,fun use good sound quality,positive
5,30-Jul-18,Sandstone Fabric ,The echo works well. I was able to sync it with my other Amazon music devices.,1,78,echo work well able sync amazon music device,positive
5,30-Jul-18,Charcoal Fabric ,"Works great, but I don't think Amazon should charge another cent for unlimited music when you 1) Have Prime AND 2) Buy an Echo.",1,127,work great do not think amazon charge another cent unlimited music 1 prime 2 buy echo,positive
5,30-Jul-18,Charcoal Fabric ,Already had an Echo Dot. The Echo is even better with fuller sound. Also during setup it now lets phone calls to be made to my contact list which is great!,1,155,already echo dot echo even well full sound also setup let phone call make contact list great,positive
5,30-Jul-18,Charcoal Fabric ,The speaker sounds really good,1,30,speaker sound really good,positive
5,30-Jul-18,Heather Gray Fabric ,Good sound works well,1,21,good sound work well,positive
5,30-Jul-18,Charcoal Fabric ,Love it and Alexa. I am not very savvy but support was very helpful and patient.,1,80,love alexa savvy support helpful patient,positive
5,30-Jul-18,Charcoal Fabric ,"Love it! I was thinking about getting one and when the prime day discount was offered, I could not pass it up! It's fun to ask Alexa to play any song or group and she comes up with a playlist from Amazon Prime Music. You can also connect your iPhone with bluetooth and play music with Pandora or YouTube videos using Alexa as a speaker. I've been having fun asking Alexa different types of questions or for information like weather, news or even the time in other countries. The only downside is if you have limited data on your wifi plan, because Alexa uses burns it up when playing music.",1,590,love think get one prime day discount offer could pass fun ask alexa play song group come playlist amazon prime music also connect iphone bluetooth play music pandora youtube video use alexa speaker -PRON- have fun ask alexa different type question information like weather news even time country downside limited datum wifi plan alexa use burn play music,positive
5,30-Jul-18,Charcoal Fabric ,"We like it all so far, but have a lot to try out yet.",1,53,like far lot try yet,positive
5,30-Jul-18,Heather Gray Fabric ,Love it - am using it strictly for music now and it's great!,1,60,love use strictly music great,positive
5,30-Jul-18,Sandstone Fabric ,"Love the Echo !!! I love the size, material and speaker quality. I have it hooked up to one light easily and will work on additional lights and thermostat. Next is Echo Dot for bedroom. There is a lot more to do with Echo that you think. Traffic, Weather, Trivia, etc.",1,268,love echo love size material speaker quality hook one light easily work additional light thermostat next echo dot bedroom lot echo think traffic weather trivium etc,positive
4,30-Jul-18,Charcoal Fabric ,Love it!,1,8,love,positive
5,30-Jul-18,Charcoal Fabric ,The entire family loves Alexa Echo. She’s now a part of this family.,1,68,entire family love alexa echo -PRON- s part family,positive
5,30-Jul-18,Walnut Finish ,"Great fun getting to know all the functions of this product.  WOW -- family fun and homework help.  Talking with other grandchildren,who also have an Echo, is a HUGE bonus.  Can't wait to learn more and more and more",1,216,great fun get know function product wow family fun homework help talk grandchildrenwho also echo huge bonus can not wait learn,positive
5,30-Jul-18,Heather Gray Fabric ,Love it!,1,8,love,positive
5,30-Jul-18,Heather Gray Fabric ,"awesome thing, love Alexa",1,25,awesome thing love alexa,positive
5,30-Jul-18,Charcoal Fabric ,It worked exactly as expected and the speaker has great sound. It is perfect for my classroom!,1,94,work exactly expect speaker great sound perfect classroom,positive
5,30-Jul-18,Charcoal Fabric ,"LOVE, LOVE this new little gadget.  Has  made our lives so much easier.  it's like having our own personal secretary living here in the home.  We hardly need our CD's anymore, since ALEXA plays everything we need.  Going to get the Alexa DOTS soon for more rooms.  Thanks!!",1,273,love love new little gadget make life much easy like personal secretary live home hardly need cd anymore since alexa play everything need go get alexa dot soon room thank,positive
4,30-Jul-18,Heather Gray Fabric ,The speaker is of surprising quality. Happy with the purchase.,1,62,speaker surprising quality happy purchase,positive
5,30-Jul-18,Charcoal Fabric ,Very easy to set up. Works wonderful and I love it!!,1,52,easy set work wonderful love,positive
5,30-Jul-18,Sandstone Fabric ,I'm really impressed with the sound quality when playing music from this device.  The bass sounds almost like it's coming from a bigger speaker so props to Amazon.,1,163,-PRON- be really impress sound quality play music device bass sound almost like come big speaker prop amazon,positive
4,30-Jul-18,Charcoal Fabric ,"It’s still a great product.But the sound quality does seem worse.Don’t get me wrong. You definitely get used to it within an hour. But it definitely feels like echo gen 1 sound quality was better.Besides that , it’s great.With the addition of being able to play Just over Bluetooth with no WiFi, it’s even better.",1,313,still great productbut sound quality seem worsedont get wrong definitely get use within hour definitely feel like echo gen 1 sound quality betterbeside greatwith addition able play bluetooth wifi even well,positive
4,30-Jul-18,Sandstone Fabric ,The outlet does not work with it. Was disappointed in that.,1,59,outlet work disappoint,positive
4,30-Jul-18,Charcoal Fabric ,"Great device, responsive and helpful",1,36,great device responsive helpful,positive
2,30-Jul-18,Charcoal Fabric ,Sound is terrible if u want good music too get a bose,0,53,sound terrible u want good music get bose,negative
4,30-Jul-18,Charcoal Fabric ,"i liked the sound . what is troubling is that I paid extra money to have access to a million more songs. Sometimes it doesn't work. Ex. Alexa play Italian songs&#34; .don't have or don&#34; t understand. or play the opera Tosca, response &#34;sorry I don&#34;t have that.",1,271,like sound troubling pay extra money access million song sometimes do not work ex alexa play italian songs34 do not don34 understand play opera tosca response 34sorry don34 t,positive
5,30-Jul-18,Charcoal Fabric ,Easy to set up and use. Too bad it has to be plugged in. Would be nice to take it outside and operate on battery and recharged.,1,127,easy set use bad plug would nice take outside operate battery recharge,positive
5,30-Jul-18,Charcoal Fabric ,Still learning all the ways to use it.  It is a real hit with my grandkids who ask it to play music and then dance to it.  (5 and 7 yrs).  Very cute.,1,149,still learn way use real hit grandkid ask play music dance 5 7 yrs cute,positive
4,30-Jul-18,Oak Finish ,"4.5 out of 5 Stars. I generally like this product. Its great at doing what you ask of it like playing music, setting timers, and making calls. Reason why I didn't rate it 5 out of 5 is that sometimes the connection dies and my Echo stops playing music and shows a red ring. Seems to be a connection issue. Overall, great product.",1,329,45 5 star generally like product great ask like play music set timer make call reason do not rate 5 5 sometimes connection die echo stop play music show red ring seem connection issue overall great product,positive
5,30-Jul-18,Charcoal Fabric ,"Works great, upgraded from echo dot to full size echo, couldn’t be happier!",1,75,work great upgrade echo dot full size echo could not happy,positive
5,30-Jul-18,Charcoal Fabric ,It's Alexa.... what else can you say,1,36,alexa else say,positive
5,30-Jul-18,Charcoal Fabric ,Upgraded from my lilttle echo dot. Happy with sound,1,51,upgraded lilttle echo dot happy sound,positive
4,30-Jul-18,Sandstone Fabric ,"Excellent product, set up with ease as well.",1,44,excellent product set ease well,positive
5,30-Jul-18,Heather Gray Fabric ,I've had the first gen Echo since it first came out and it has worked well for me. I purchased the 2nd gen during Prime Day and so far I'm happy. It seems to have an improved speaker which provides enhanced sound for music and such.,1,232,-PRON- have first gen echo since first come work well purchase 2nd gen prime day far -PRON- be happy seem improve speaker provide enhanced sound music,positive
5,30-Jul-18,Charcoal Fabric ,I love my Echo smart speaker.  I love the volume and clarity.  It was easy to set up.  ITs a wonderful gift for any age.,1,120,love echo smart speaker love volume clarity easy set wonderful gift age,positive
5,30-Jul-18,Charcoal Fabric ,wonderful product and fast delivery!,1,36,wonderful product fast delivery,positive
4,30-Jul-18,Charcoal Fabric ,Initially harder to set up called tech wasn’t that knowledgeable now working great.,1,83,initially hard set call tech be not knowledgeable work great,positive
5,30-Jul-18,Heather Gray Fabric ,It was very easy to set up and my family love it’s!,1,51,easy set family love,positive
5,30-Jul-18,Charcoal Fabric ,Has great sound and is very responsive my voice and commands.,1,61,great sound responsive voice command,positive
5,30-Jul-18,Sandstone Fabric ,How did I live this long without the Echo . You get to enjoy any music style  just my asking Alexa . Going to up-greade to the wireless . Love the Echo . Love you too Alexa .,1,174,live long without echo get enjoy music style ask alexa go upgreade wireless love echo love alexa,positive
5,30-Jul-18,Heather Gray Fabric ,Very cool product. Speaker sounds good with my Spotify blasting through it.,1,75,cool product speaker sound good spotify blast,positive
5,30-Jul-18,Charcoal Fabric ,Having so much fun with Alexa. Love being able to listen to music when I’m across the room or busy doing something else.,1,120,much fun alexa love able listen music -PRON- be across room busy something else,positive
5,30-Jul-18,Charcoal Fabric ,"So far it seems to be a very nice item. It picks up on my voice and understands me without any problems. The other day I asked it to turn down the music from the next room and it heard me just fine. I've only used it to listen to music and check the weather, but it has done both of those things very well.",1,306,far seem nice item pick voice understand without problem day ask turn music next room hear fine -PRON- have use listen music check weather do thing well,positive
5,30-Jul-18,Charcoal Fabric ,Love our echo,1,13,love echo,positive
5,30-Jul-18,Charcoal Fabric ,"I love it,she is very helpful. I use her for remembering things and sleep. You can ask her just about anything. I have only had her for about a week so still learning her.",1,171,love itshe helpful use remember thing sleep ask anything week still learn,positive
4,30-Jul-18,Charcoal Fabric ,"It's better than the 1st gen in every way except for one.  I really miss the ring at the top for volume control.  It was quicker and easier to just grab the top and twist without having to look at the buttons and find the &#34;-&#34; one and press it a few times.  I also wish the bass was a bit better.  All in all, it's a great device and I'm happy with it.",1,359,well 1st gen every way except one really miss re top volume control quick easy grab top twist without look button find 3434 one press time also wish bass bit well great device -PRON- be happy,positive
5,30-Jul-18,Charcoal Fabric ,I love having an Alexa!,1,23,love alexa,positive
5,30-Jul-18,Charcoal Fabric ,So far I like it 🤓,1,18,far like,positive
5,30-Jul-18,Heather Gray Fabric ,I am thoroughly enjoying my Ecoo!  Love to have it read my audiobook to me while in the office and then I can simply open the audiobook on my kindle to continue it when elsewhere. Wonderful for listening to music when not in the mood for a book. Great for setting reminders for myself too and so much more.,1,306,thoroughly enjoy ecoo love read audiobook office simply open audiobook kindle continue elsewhere wonderful listening music mood book great setting reminder much,positive
5,30-Jul-18,Charcoal Fabric ,Still love it,1,13,still love,positive
5,30-Jul-18,Charcoal Fabric ,Love it,1,7,love,positive
5,30-Jul-18,Heather Gray Fabric ,"I love the sound quality of this unit, it is a very clear sound.",1,64,love sound quality unit clear sound,positive
4,30-Jul-18,Sandstone Fabric ,I just this for listening to talk radio in the morning and turning lights on and off etc. The system does an excellent job as a full house sound system streaming Sirius.,1,169,listening talk radio morning turning light etc system excellent job full house sound system streaming sirius,positive
5,30-Jul-18,Charcoal Fabric ,"I have had for only a week, so I am still learning all that Alexa can do.  It is a learning process.  I love the music I can call up any time.  I listen to podcasts and radio stations.  I have just started keeping shopping lists and grocery lists, which I love.  I don’t have to search for paper and pencil.  Getting time and temperature are great, do not have to wait for weather reports.  The sound is good.  I am not fussy about woofers, tweeters, base , etc.  the Echo is fine for me.  This afternoon I am going to try “dropping in”.on my son when he gets home.  Going to surprise him.",1,589,week still learn alexa learning process love music call time listen podcast radio station start keep shopping list grocery list love do not search paper pencil get time temperature great wait weather report sound good fussy woofer tweeter base etc echo fine afternoon go try drop inon son get home go surprise,positive
1,30-Jul-18,Charcoal Fabric ,Not much features.,0,18,much feature,negative
5,30-Jul-18,Charcoal Fabric ,"Great sound quality, great features, great product. Multi room music is very cool.",1,82,great sound quality great feature great product multi room music cool,positive
5,30-Jul-18,Charcoal Fabric ,Cool,1,4,cool,positive
5,30-Jul-18,Charcoal Fabric ,Everyone should have an Echo or two or three or more. I bought my Echo through QVC.,1,83,everyone echo two three buy echo qvc,positive
3,30-Jul-18,Sandstone Fabric ,it's annoying that everything they show Alexa as being able to do has to be downloaded. You spend so  much time trying to figure out how to phrase it for the machine that you may as well just look it up yourself,1,211,annoy everything show alexa able download spend much time try figure phrase machine may well look,negative
5,30-Jul-18,Charcoal Fabric ,I have had Alexa since the beginning.  I accidentally spilled water on her and have replaced it with the 2nd generation.  I decided I couldn't be without an Echo.  Setup was easy and had it working within minutes.,1,213,alexa since begin accidentally spill water replace 2nd generation decide could not without echo setup easy work within minute,positive
5,30-Jul-18,Charcoal Fabric ,"I like being able to tell Alexia the music I want to hear, but sometimes she has trouble finding the song if I am not very specific about the title.",1,148,like able tell alexia music want hear sometimes trouble find song specific title,positive
5,30-Jul-18,Heather Gray Fabric ,I like the looks better than the original echo.  I moved my old echo to the basement family room. Nice sound.,1,109,like look well original echo move old echo basement family room nice sound,positive
5,30-Jul-18,Charcoal Fabric ,The Echo is wonderful but I'm still learning how to use it. Music requests are somewhat limited.,1,96,echo wonderful -PRON- be still learn use music request somewhat limited,positive
3,30-Jul-18,Heather Gray Fabric ,"Doesn't know half the things asked. Can't recognize my sprinkler wifi controller, even though product details says it is compatible. Can't program or change my wifi thermostat settings and its matched up on same wifi router. Just a handy music player. That's if you have Amazon Music.",1,284,do not know half thing ask can not recognize sprinkler wifi controller even though product detail say compatible can not program change wifi thermostat setting match wifi router handy music player that s amazon music,negative
5,30-Jul-18,Sandstone Fabric ,Love it,1,7,love,positive
5,30-Jul-18,Sandstone Fabric ,awesome.understands my kids,1,27,awesomeunderstands kid,positive
